order_year,order_month,monthly_revenue,order_volume
2021,1,117596056.5,82
2021,2,114136199,86
2021,3,174909846,80
2021,4,80954700.59375,82
2021,5,105504453.40625,82
2021,6,110270122,83
2021,7,488993969.0015621,341
2021,8,436490252,345
2021,9,453021603.4628906,328
2021,10,478368081.875,346
2021,11,482326288.5,344
2021,12,421389749,363
2022,1,434380776.921875,385
2022,2,360662633.6542969,335
2022,3,498841078.484375,390
2022,4,677591001.2109375,366
2022,5,529584337.5467529,392
2022,6,389689100.2211914,362
2022,7,441601900.4736328,388
2022,8,686111143.28125,128
2022,9,658255756.4609375,112
2022,10,124020092.09375,114
2022,11,142788642.12109375,117
2022,12,107766595.46533203,113
