customer_id,total_spent
C206125L,520122250
C460487L,518752000
C378684L,120180408
C374672L,109021498
C492850L,99468434
C200115L,98065878
C781213L,83299542
C862627L,76320752
C873525L,74238840
C972737L,71069372
C215074L,67501838.375
C520373L,67046028
C514596L,60289784
C242231L,52989148
C750160L,50252128
C872920L,38428828
C924458L,37905552
C700603L,36655536
C909114L,36056454
C424665L,34800000
C296946L,33059536
C992621L,32149226
C363466L,31602750
C283866L,31551304
C738725L,31368140
C325659L,30342526
C980973L,29880730
C783325L,29458200
C958287L,29128818
C324312L,28765680
C351587L,28640748
C907186L,28489832
C974256L,28419884
C525405L,28202384
C635102L,28085398
C314395L,27782000
C232704L,27782000
C658753L,27550000
C994467L,27513808
C414678L,27260000
C332672L,27260000
C320323L,27260000
C728469L,27260000
C717869L,26912000
C220911L,25519942
C382868L,25428360
C770029L,24288196
C899192L,23727742
C925840L,23315826
C414907L,22959126
C985354L,22949383.75
C831683L,22809544
C522216L,22660542
C989354L,22601266
C334571L,21969356
C483469L,21691014
C952778L,21641076
C461801L,21448342
C546010L,21198942
C741634L,21182992
C788509L,20719282
C166968L,20637502
C301616L,20630542
C203164L,20446856
C822265L,19850498
C945996L,19719710
C484780L,19662000
C986991L,19168942
C987239L,19159082
C132488L,19079390
C426012L,18965826
C137305L,18502000
C946407L,18327768
C650820L,17808726
C245614L,17608800
C162721L,17545029
C363738L,17400000
C351531L,17399884
C463487L,17139406
C698097L,17015866
C575920L,16878000
C329226L,16819942
C507554L,16790826
C355869L,16587188
C800316L,16530000
C527307L,16355942
C865081L,16263200
C332046L,16234084
C143684L,16218250
C529046L,16167848
C501840L,16020644
C814229L,15836146
C586717L,15659942
C415262L,15424462
C145580L,15398942
C650707L,15383630
C339395L,15201336
C149990L,15066080
C780898L,14615884
C239306L,14414972
C835857L,14324492
C488097L,14192368
C954865L,14152000
C451973L,14091042
C371659L,14004564
C158367L,13774942
C676393L,13686927
C499900L,13667584
C483498L,13630000
C795882L,13630000
C339434L,13630000
C727904L,13630000
C475080L,13630000
C899610L,13509650
C436261L,13496890
C805055L,13273474
C975587L,13160200
C996508L,13023726
C444616L,12950298
C416181L,12862660
C924660L,12765974
C573424L,12643884
C661288L,12643884
C131092L,12643884
C620551L,12643884
C685143L,12643884
C805381L,12640520
C339498L,12528000
C360482L,12453818
C218616L,12286662
C773779L,12217120
C232406L,12124842
C227184L,12102280
C191638L,11952002
C716051L,11600000
C718296L,11501980
C623160L,11462830
C713589L,11443922
C501323L,11309826
C459720L,11304142
C348049L,11252000
C675024L,11249970
C803978L,11245197.1875
C752800L,11193884
C900628L,11193884
C345763L,11193884
C966878L,11193884
C329062L,11136000
C678257L,11123472
C867007L,11069648
C210105L,11020000
C893754L,10950168
C294880L,10903884
C478613L,10875000
C935534L,10869200
C925101L,10852612
C955087L,10811780
C867333L,10758884
C998017L,10550722
C485693L,10467915.399999619
C600018L,10455660
C179537L,10341284
C982362L,10323884
C648398L,10323884
C178509L,10275280
C566270L,10092000
C652751L,9932500
C922594L,9860870
C287945L,9859884
C940442L,9787500
C603530L,9752758
C198784L,9744000
C626266L,9744000
C757915L,9717320
C624290L,9692380
C834363L,9638962
C796546L,9469080
C347288L,9469080
C932085L,9402844
C531212L,9291484
C616892L,9280000
C260117L,9209762
C588794L,9207152
C481253L,9032572
C314557L,8932000
C469416L,8926142
C140984L,8878640
C191188L,8839142
C685669L,8700000
C724228L,8700000
C874059L,8700000
C114766L,8700000
C668686L,8700000
C764741L,8686138
C484446L,8673320
C132041L,8609114
C671880L,8559350
C238059L,8525884
C312751L,8467942
C342926L,8450542
C461943L,8430880
C300711L,8414640
C992037L,8410000
C469250L,8410000
C424744L,8410000
C653890L,8410000
C813497L,8388192
C333379L,8346200
C543271L,8158976
C332716L,8119884
C533504L,8003942
C433456L,7998142
C517976L,7955628
C172885L,7938402
C404192L,7907082
C941247L,7656000
C404198L,7656000
C247284L,7634946
C907193L,7482000
C795657L,7482000
C994724L,7400800
C551551L,7394782.5
C479992L,7390360
C871391L,7372639.25
C330163L,7368900
C968294L,7366000
C399101L,7260672
C546651L,7255220
C538751L,7180519
C234415L,7115788
C280043L,7067822
C795690L,7046942
C849740L,6918878
C140927L,6902000
C738195L,6902000
C157296L,6881700
C251306L,6784202
C360252L,6728000
C686117L,6678004
C375089L,6672320
C606338L,6670000
C500989L,6664200
C813614L,6628240
C792683L,6619888
C759150L,6495942
C148834L,6487648
C466867L,6487648
C174733L,6487648
C660544L,6414800
C999498L,6384640
C720213L,6379884
C343951L,6321942
C495724L,6321942
C133507L,6321942
C649372L,6321942
C919371L,6321942
C246492L,6321942
C173822L,6321942
C727531L,6321942
C644721L,6321942
C183650L,6321942
C621610L,6278326
C194239L,6222820
C731475L,6147942
C561993L,6136342
C848774L,6122835.5
C622494L,6016050
C481192L,5979336
C527370L,5979336
C505515L,5965242
C160493L,5962046.25
C504001L,5949466
C775669L,5949466
C225403L,5889668
C127410L,5852142
C246762L,5849648
C628207L,5830682
C112088L,5800000
C347055L,5794200
C870403L,5730400
C949023L,5716480
C473931L,5715900
C322598L,5707142
C354051L,5707142
C908781L,5707142
C292043L,5707142
C483534L,5707142
C493539L,5707142
C574804L,5707142
C836966L,5707142
C289852L,5707142
C920427L,5707142
C449403L,5707142
C134876L,5707142
C567297L,5707142
C736100L,5707142
C540389L,5707142
C932357L,5707142
C993996L,5707142
C361787L,5707142
C282103L,5707142
C274456L,5698500
C189144L,5680404
C488123L,5680404
C214179L,5674720
C191766L,5658097.25
C533294L,5649142
C541932L,5644850
C507691L,5626000
C572593L,5622404
C168471L,5604540
C412936L,5598972
C580710L,5597000
C885445L,5597000
C994155L,5597000
C535451L,5596942
C429196L,5596942
C622053L,5596942
C500464L,5596942
C525515L,5596942
C657286L,5596942
C315981L,5596942
C760843L,5596942
C143765L,5596942
C550308L,5591780
C319615L,5591780
C279787L,5591780
C838948L,5591780
C927765L,5591780
C618216L,5591200
C623383L,5589692
C340781L,5585342
C927720L,5556400
C560369L,5539000
C513701L,5510000
C841181L,5510000
C272151L,5510000
C976932L,5510000
C758455L,5510000
C805823L,5510000
C742692L,5498226
C995819L,5459250
C837518L,5452000
C816600L,5447882
C317311L,5437500
C115342L,5434600
C183259L,5434600
C843167L,5434600
C875408L,5428800
C134982L,5428800
C685596L,5416655.5
C446527L,5411342
C249483L,5367900
C522805L,5335768
C176721L,5335768
C660546L,5335768
C615032L,5291746
C822231L,5284090
C813380L,5278000
C587425L,5278000
C180595L,5278000
C693415L,5278000
C908967L,5266110
C599590L,5237110
C275787L,5228932
C205341L,5228874
C394285L,5223480
C638768L,5220000
C453900L,5219942
C607118L,5219942
C284772L,5219942
C865334L,5208400
C405631L,5208400
C875936L,5194306
C305250L,5170642
C239518L,5170642
C107850L,5170642
C297051L,5170642
C761639L,5162000
C613165L,5162000
C662822L,5161942
C675111L,5161942
C898693L,5161942
C692945L,5161942
C497556L,5150922
C259075L,5150922
C578429L,5142280
C244786L,5142280
C275380L,5142280
C264730L,5114672
C354134L,5103942
C976384L,5074942
C663409L,5074942
C513549L,5074942
C125637L,5046000
C827455L,5046000
C249528L,5046000
C540782L,5001050
C542963L,4985332
C957057L,4976400
C536852L,4970716
C902445L,4958942
C228751L,4945254
C904928L,4929942
C167391L,4900710
C297858L,4871942
C505171L,4869100
C916513L,4858660
C565605L,4858660
C495199L,4760640
C665170L,4738600
C823220L,4734540
C195816L,4734540
C945064L,4734540
C390010L,4734540
C166377L,4734540
